"","Estacoes","R2_Chuva","R2_Diario","R2_Decendial","R2_Mensal"
"536","A806_Florianopolis_(automatica)",0.227,0.263,0.362,0.295
"537","A807_Curitiba_(automatica)",0.122,0.193,0.57,0.5
"538","A808_Torres_(automatica)",0.238,0.244,0.355,0.237
"539","A809_Uruguaiana_(automatica)",0.426,0.458,0.74,0.651
"540","A810_Santa_Rosa_(automatica)",0.262,0.339,0.448,0.318
"541","A811_Cangucu_(automatica)",0.318,0.376,0.655,0.574
"542","A812_Cacapava_do_Sul_(automatica)",0.409,0.46,0.675,0.624
"543","A813_Rio_Pardo_(automatica)",0.364,0.415,0.683,0.472
"544","A814_Urussanga_(automatica)",0.219,0.259,0.549,0.409
"545","A815_Sao_Joaquim_(automatica)",0.238,0.275,0.752,0.628
"546","A816_Campos_Novos_(automatica)",0.245,0.311,0.579,0.529
"547","A817_Indaial_(automatica)",0.33,0.395,0.574,0.464
"548","A818_Ivai_(automatica)",0.155,0.114,0.25,0.026
"549","A819_Castro_(automatica)",0.232,0.208,0.438,0.214
"550","A820_Marechal_Candido_Rondon_(automatica)",0.214,0.305,0.36,0.26
"551","A821_Joaquim_Tavora_(automatica)",0.255,0.317,0.574,0.596
"552","A822_Iretama_Automatica",0.244,0.285,0.424,0.163
"553","A823_Inacio_Martins_(automatica)",0.221,0.284,0.615,0.499
"554","A824_Icaraima_(automatica)",0.148,0.195,0.587,0.677
"555","A826_Alegrete_(automatica)",0.23,0.319,0.508,0.309
"556","A827_Bage_(automatica)",0.286,0.36,0.647,0.569
"557","A828_Erechim_(automatica)",0.26,0.281,0.475,0.38
"558","A829_Sao_Jose_dos_Asentes_(automatica)",0.271,0.312,0.721,0.679
"559","A830_Sao_Borja_(automatica)",0.168,0.241,0.376,0.385
"560","A831_Quarai_(automatica)",0.28,0.349,0.634,0.662
"561","A832_Sao_Gabriel_(automatica)",0.306,0.37,0.464,0.328
"562","A833_Santiago_(automatica)",0.25,0.325,0.66,0.595
"563","A834_Tramandai_(automatica)",0.35,0.403,0.642,0.529
"564","A835_Maringa_(automatica)",0.138,0.243,0.546,0.382
